tree                                 edge |  No.    family             par          par2 |   tau   UTD   LTD 
------------------------------------------------------------------------------------------------------------ 
   1                                  4,1 |   2          t     0.91 (0.01)   3.10 (0.89) |  0.73  0.69  0.69
                                      8,4 |   2          t     0.92 (0.01)   4.11 (1.45) |  0.75  0.67  0.67
                                      9,6 |   2          t     0.90 (0.01)   3.27 (0.93) |  0.71  0.66  0.66
                                      9,5 |   7        BB1     0.51 (0.15)   1.69 (0.13) |  0.53  0.49  0.45
                                      9,3 |   2          t     0.92 (0.01)   5.12 (1.82) |  0.74  0.63  0.63
                                    11,10 |   2          t     0.87 (0.01)   6.09 (2.65) |  0.67  0.50  0.50
                                     14,8 |   7        BB1     0.66 (0.17)   2.53 (0.21) |  0.70  0.68  0.66
                                    11,14 |   2          t     0.91 (0.01)   6.47 (2.66) |  0.73  0.57  0.57
                                     11,2 |   7        BB1     0.31 (0.14)   2.40 (0.18) |  0.64  0.66  0.39
                                     12,9 |   2          t     0.92 (0.01)   4.36 (1.53) |  0.74  0.65  0.65
                                     12,7 |   1          N     0.91 (0.01)             - |  0.73     -     -
                                    11,13 |   2          t     0.91 (0.01)   6.26 (2.81) |  0.73  0.58  0.58
                                    12,11 |   7        BB1     0.46 (0.15)   3.20 (0.26) |  0.75  0.76  0.62
                                    15,12 |   7        BB1     0.18 (0.13)   2.72 (0.21) |  0.66  0.71  0.25
   2                                8,1;4 |   2          t     0.39 (0.06)   4.64 (1.40) |  0.26  0.17  0.17
                                   14,4;8 |   1          N     0.27 (0.06)             - |  0.17     -     -
                                   12,6;9 |   2          t     0.40 (0.06)   5.59 (2.14) |  0.26  0.14  0.14
                                   12,5;9 |  14         SG     1.16 (0.05)             - |  0.14     -  0.18
                                   12,3;9 |  17       SBB1     0.28 (0.13)   1.30 (0.09) |  0.33  0.04  0.30
                                  2,10;11 |  20       SBB8     2.03 (0.70)   0.83 (0.18) |  0.22     -     -
                                  11,8;14 |   2          t     0.38 (0.06)   4.75 (1.60) |  0.25  0.16  0.16
                                 13,14;11 |   1          N     0.45 (0.05)             - |  0.30     -     -
                                  13,2;11 |   5          F     2.25 (0.40)             - |  0.24     -     -
                                   7,9;12 |  10        BB8     2.19 (0.72)   0.85 (0.16) |  0.26     -     -
                                  11,7;12 |   5          F     2.19 (0.40)             - |  0.23     -     -
                                 12,13;11 |   1          N     0.37 (0.05)             - |  0.24     -     -
                                 15,11;12 |   5          F     2.18 (0.40)             - |  0.23     -     -
   3                             14,1;8,4 |   2          t     0.17 (0.07)   5.56 (2.26) |  0.11  0.07  0.07
                                11,4;14,8 |   1          N     0.09 (0.06)             - |  0.06     -     -
                                 7,6;12,9 |   2          t     0.22 (0.07)   7.50 (3.34) |  0.14  0.05  0.05
                                 7,5;12,9 |   2          t     0.13 (0.07)   5.86 (2.43) |  0.08  0.06  0.06
                                 7,3;12,9 |   5          F     1.30 (0.41)             - |  0.14     -     -
                               13,10;2,11 |  10        BB8     1.46 (0.26)   0.94 (0.09) |  0.15     -     -
                               13,8;11,14 |  10        BB8     2.16 (0.92)   0.78 (0.24) |  0.21     -     -
                               2,14;13,11 |   1          N     0.23 (0.06)             - |  0.14     -     -
                               12,2;13,11 |   5          F     1.25 (0.39)             - |  0.14     -     -
                                11,9;7,12 |   1          N     0.26 (0.06)             - |  0.16     -     -
                               15,7;11,12 |   6          J     1.24 (0.08)             - |  0.12  0.25     -
                              15,13;12,11 | 104       Tawn     1.71 (0.23)   0.23 (0.07) |  0.15  0.18     -
   4                          11,1;14,8,4 |   4          G     1.13 (0.05)             - |  0.11  0.15     -
                             13,4;11,14,8 |   4          G     1.13 (0.05)             - |  0.11  0.15     -
                              11,6;7,12,9 |   5          F     1.02 (0.38)             - |  0.11     -     -
                              11,5;7,12,9 |   0          I               -             - |  0.00     -     -
                              11,3;7,12,9 |  14         SG     1.15 (0.05)             - |  0.13     -  0.17
                            14,10;13,2,11 |   5          F     0.76 (0.39)             - |  0.08     -     -
                             2,8;13,11,14 |   1          N     0.26 (0.06)             - |  0.17     -     -
                            12,14;2,13,11 |   3          C     0.22 (0.08)             - |  0.10     -  0.05
                            15,2;12,13,11 |  14         SG     1.09 (0.04)             - |  0.08     -  0.11
                             15,9;11,7,12 |  20       SBB8     1.37 (0.24)   0.95 (0.09) |  0.14     -     -
                            13,7;15,11,12 |   4          G     1.12 (0.05)             - |  0.11  0.15     -
   5                       13,1;11,14,8,4 |  14         SG     1.05 (0.04)             - |  0.05     -  0.07
                           2,4;13,11,14,8 |   5          F     1.04 (0.39)             - |  0.11     -     -
                           15,6;11,7,12,9 |   5          F     1.47 (0.40)             - |  0.16     -     -
                           15,5;11,7,12,9 |   2          t     0.08 (0.07)  10.86 (6.57) |  0.05  0.01  0.01
                           15,3;11,7,12,9 |   5          F     0.60 (0.39)             - |  0.07     -     -
                          8,10;14,13,2,11 | 124     Tawn90    -9.65 (5.93)   0.01 (0.00) | -0.01     -     -
                          12,8;2,13,11,14 |  14         SG     1.11 (0.05)             - |  0.10     -  0.13
                         15,14;12,2,13,11 |   0          I               -             - |  0.00     -     -
                          7,2;15,12,13,11 |   5          F     0.61 (0.38)             - |  0.07     -     -
                          13,9;15,11,7,12 |   4          G     1.06 (0.04)             - |  0.06  0.08     -
   6                     2,1;13,11,14,8,4 |  13         SC     0.18 (0.07)             - |  0.08  0.02     -
                        12,4;2,13,11,14,8 |   0          I               -             - |  0.00     -     -
                         3,6;15,11,7,12,9 |   0          I               -             - |  0.00     -     -
                        13,5;15,11,7,12,9 | 204      Tawn2     3.71 (1.19)   0.03 (0.01) |  0.03  0.03     -
                        13,3;15,11,7,12,9 |   5          F     1.60 (0.39)             - |  0.17     -     -
                       12,10;8,14,13,2,11 |  20       SBB8     1.33 (0.30)   0.87 (0.18) |  0.09     -     -
                       15,8;12,2,13,11,14 | 204      Tawn2     5.05 (3.03)   0.00 (0.00) |  0.00  0.00     -
                       7,14;15,12,2,13,11 |  13         SC     0.14 (0.08)             - |  0.06  0.01     -
                        9,2;7,15,12,13,11 | 114    Tawn180   20.00 (12.27)   0.01 (0.00) |  0.00     -  0.01
   7                  12,1;2,13,11,14,8,4 |  14         SG     1.13 (0.05)             - |  0.12     -  0.16
                     15,4;12,2,13,11,14,8 |   5          F     1.30 (0.39)             - |  0.14     -     -
                      13,6;3,15,11,7,12,9 |   2          t     0.03 (0.07)   6.33 (2.73) |  0.02  0.03  0.03
                      2,5;13,15,11,7,12,9 |  13         SC     0.10 (0.07)             - |  0.05  0.00     -
                      2,3;13,15,11,7,12,9 |   3          C     0.13 (0.08)             - |  0.06     -  0.00
                    15,10;12,8,14,13,2,11 |   3          C     0.14 (0.07)             - |  0.07     -  0.01
                     7,8;15,12,2,13,11,14 |  16         SJ     1.06 (0.05)             - |  0.03     -  0.08
                     9,14;7,15,12,2,13,11 | 214  Tawn2_180     3.77 (1.59)   0.02 (0.00) |  0.02     -  0.02
   8               15,1;12,2,13,11,14,8,4 |   5          F     1.66 (0.39)             - |  0.18     -     -
                   7,4;15,12,2,13,11,14,8 | 104       Tawn     6.45 (3.87)   0.01 (0.00) |  0.01  0.01     -
                    2,6;13,3,15,11,7,12,9 |   3          C     0.12 (0.07)             - |  0.06     -  0.00
                    3,5;2,13,15,11,7,12,9 |   0          I               -             - |  0.00     -     -
                   14,3;2,13,15,11,7,12,9 | 114    Tawn180     1.58 (0.28)   0.13 (0.06) |  0.08     -  0.10
                  7,10;15,12,8,14,13,2,11 |   5          F     0.96 (0.40)             - |  0.11     -     -
                   9,8;7,15,12,2,13,11,14 |   0          I               -             - |  0.00     -     -
   9             7,1;15,12,2,13,11,14,8,4 | 124     Tawn90   -10.19 (5.37)   0.00 (0.00) | -0.00     -     -
                10,4;7,15,12,2,13,11,14,8 |   2          t    -0.07 (0.07)   5.77 (2.15) | -0.05  0.03  0.03
                 14,6;2,13,3,15,11,7,12,9 |   5          F     0.64 (0.39)             - |  0.07     -     -
                 14,5;3,2,13,15,11,7,12,9 | 234  Tawn2_270    -20.00 (NaN)    0.00 (NaN) | -0.00     -     -
                 8,3;14,2,13,15,11,7,12,9 |  23        C90    -0.15 (0.09)             - | -0.07     -     -
                9,10;7,15,12,8,14,13,2,11 |  13         SC     0.14 (0.07)             - |  0.07  0.01     -
  10          10,1;7,15,12,2,13,11,14,8,4 | 204      Tawn2     19.27 ( NA)   0.00 (0.00) |  0.00  0.00     -
              9,4;10,7,15,12,2,13,11,14,8 |   2          t    -0.04 (0.07)   5.56 (1.96) | -0.02  0.03  0.03
               5,6;14,2,13,3,15,11,7,12,9 | 124     Tawn90  -20.00 (21.71)   0.01 (0.00) | -0.00     -     -
               8,5;14,3,2,13,15,11,7,12,9 | 204      Tawn2     7.97 (4.61)   0.00 (0.00) |  0.00  0.00     -
              10,3;8,14,2,13,15,11,7,12,9 |   5          F     1.36 (0.40)             - |  0.15     -     -
  11        9,1;10,7,15,12,2,13,11,14,8,4 |   5          F     1.54 (0.38)             - |  0.17     -     -
            3,4;9,10,7,15,12,2,13,11,14,8 |   0          I               -             - |  0.00     -     -
             8,6;5,14,2,13,3,15,11,7,12,9 |  36       J270    -1.03 (0.08)             - | -0.02     -     -
            10,5;8,14,3,2,13,15,11,7,12,9 |  14         SG     1.07 (0.04)             - |  0.06     -  0.08
  12      3,1;9,10,7,15,12,2,13,11,14,8,4 | 224   Tawn2_90    -6.08 (3.05)   0.01 (0.00) | -0.01     -     -
          5,4;3,9,10,7,15,12,2,13,11,14,8 |   5          F     0.78 (0.37)             - |  0.09     -     -
          10,6;8,5,14,2,13,3,15,11,7,12,9 | 114    Tawn180   16.49 (24.78)   0.00 (0.00) |  0.00     -  0.00
  13    5,1;3,9,10,7,15,12,2,13,11,14,8,4 |   0          I               -             - |  0.00     -     -
        6,4;5,3,9,10,7,15,12,2,13,11,14,8 |   6          J     1.16 (0.07)             - |  0.08  0.18     -
  14  6,1;5,3,9,10,7,15,12,2,13,11,14,8,4 |   0          I               -             - |  0.00     -     -
---
type: R-vine    logLik: 3416.46    AIC: -6550.92    BIC: -6053.83    
---
1 <-> BAC,   2 <-> BK,   3 <-> BBT,   4 <-> C,   5 <-> CFG,   6 <-> FITB,   7 <-> HBAN,   8 <-> JPM,
9 <-> KEY,   10 <-> MTB,   11 <-> PNC,   12 <-> STI,   13 <-> USB,   14 <-> WFC,   15 <-> ZION> 
